Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake
A790321,Athens Street And Burton Street in Manor (TX),Stray,Normal,Dog,Intact Male,Miniature Schnauzer Mix,Black,Intact Male,positive,3287,3285
A666328,6802 Viewing Pl in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,72,61
A681921,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,Labrador Retriever/Pit Bull,Brown Brindle/White,Neutered Male,positive,164,151
A673201,300 E Rundberg in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,Brown Brindle/White,Neutered Male,positive,198,153
A776495,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Staffordshire Mix,Black/White,Spayed Female,positive,2229,2191
A705500,Capistrano Trl And Stormy Ridge Rd in Austin (TX),Stray,Sick,Dog,Intact Female,German Shepherd Mix,Tan/Black,Spayed Female,positive,735,730
A681310,2809 Parker Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Finnish Spitz Mix,Brown/Tan,Intact Male,positive,418,417
A680551,1413 North Weston Lance in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Blue/White,Spayed Female,positive,69,53
A768445,Austin (TX),Public Assist,Normal,Dog,Intact Male,Pit Bull Mix,Blue,Neutered Male,positive,2236,2191
A692564,722 S 1St St in Austin (TX),Stray,Normal,Dog,Intact Male,Jack Russell Terrier/Australian Cattle Dog,Brown/White,Intact Male,positive,915,914
A802941,4550 Mueller in Austin (TX),Stray,Normal,Dog,Neutered Male,Yorkshire Terrier,Brown,Neutered Male,positive,4383,4383
A714178,Park Village Dr And Rutland Dr in Austin (TX),Stray,Normal,Dog,Intact Male,Scottish Terrier Mix,Black,Neutered Male,positive,247,242
A700968,600 W. 26Th in Austin (TX),Wildlife,Normal,Other,Unknown,Bat,Brown,Unknown,negative,183,182
A700959,9300 Northgate Apt 219 in Austin (TX),Stray,Nursing,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,Spayed Female,positive,1312,1095
A678904,Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever/Australian Shepherd,Black/White,Spayed Female,positive,56,0
A758652,Creek Bend Drive And Dove Springs Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,Catahoula/Harrier,Tan/White,Neutered Male,positive,816,816
A707658,6118 Fairway in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,Spayed Female,positive,65,30
A743182,7001 S. Congress Ave in Austin (TX),Stray,Normal,Dog,Intact Male,Standard Poodle,Black,Intact Male,positive,616,615
A703247,6005 Signal Point in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Tortie,Intact Female,positive,792,791
A708496,824 Fairfield Dr in Austin (TX),Stray,Nursing,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,Spayed Female,positive,844,730
A671822,Austin (TX),Owner Surrender,Aged,Dog,Neutered Male,German Shepherd Mix,Black/Tan,Neutered Male,positive,3906,3717
